season,division,date,home,away,home_goals,away_goals
2024,3,2024-04-04,Ukraine,Germany,21,43
2024,3,2024-04-04,Kosovo,Poland,27,34
2024,3,2024-04-04,Finland,Czech Republic,23,43
2024,3,2024-04-04,Israel,Slovakia,24,35
2024,3,2024-04-03,Faroe Islands,Sweden,27,31
2024,3,2024-04-03,Luxembourg,Iceland,15,31
2024,3,2024-04-03,Italy,France,13,36
2024,3,2024-04-03,Lithuania,Spain,20,34
2024,3,2024-04-03,Greece,Croatia,13,24
2024,3,2024-04-03,Bulgaria,Serbia,17,35
2024,3,2024-04-03,Turkey,Montenegro,28,30
2024,3,2024-03-03,Portugal,Finland,38,22
2024,3,2024-03-03,Germany,Slovakia,32,18
2024,3,2024-03-03,Faroe Islands,Luxembourg,39,21
2024,3,2024-03-03,Montenegro,Serbia,26,25
2024,3,2024-03-03,Spain,North Macedonia,24,20
2024,3,2024-03-03,Croatia,Romania,23,25
2024,3,2024-03-03,France,Slovenia,41,22
2024,3,2024-03-03,Greece,Bosnia & Herzegovina,27,23
2024,3,2024-03-03,Turkey,Bulgaria,38,13
2024,3,2024-03-03,Netherlands,Czech Republic,42,25
2024,3,2024-03-02,Ukraine,Israel,32,28
2024,3,2024-03-02,Denmark,Poland,39,31
2024,3,2024-03-02,Sweden,Iceland,37,23
2024,3,2024-02-29,Israel,Ukraine,27,28
2024,3,2024-02-29,North Macedonia,Spain,19,31
2024,3,2024-02-29,Serbia,Montenegro,30,31
2024,3,2024-02-29,Slovakia,Germany,18,40
2024,3,2024-02-29,Finland,Portugal,21,28
2024,3,2024-02-29,Slovenia,France,20,35
2024,3,2024-02-28,Iceland,Sweden,24,37
2024,3,2024-02-28,Czech Republic,Netherlands,29,30
2024,3,2024-02-28,Bosnia & Herzegovina,Greece,22,24
2024,3,2024-02-28,Poland,Denmark,22,26
2024,3,2024-02-28,Luxembourg,Faroe Islands,16,34
2024,3,2024-02-28,Slovakia,Israel,31,22
2024,3,2024-02-28,Bulgaria,Turkey,24,30
2024,3,2024-02-28,Romania,Croatia,26,24
2023,6,2023-12-17,France,Norway,31,28
2023,6,2023-12-17,Sweden,Denmark,27,28
2023,6,2023-12-17,Germany,Netherlands,26,30
2023,6,2023-12-17,Czech Republic,Montenegro,24,28
2023,6,2023-12-15,Sweden,France,28,37
2023,6,2023-12-15,Denmark,Norway,28,29
2023,6,2023-12-15,Montenegro,Netherlands,25,28
2023,6,2023-12-15,Germany,Czech Republic,32,26
2023,6,2023-12-13,Denmark,Montenegro,26,24
2023,6,2023-12-13,Sweden,Germany,27,20
