season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2018,3,2018-03-25,Romania,Russia,26,25,312,0,0
2018,3,2018-03-25,Slovenia,Iceland,28,18,313,0,0
2018,3,2018-03-25,Turkey,Lithuania,30,24,314,0,0
2018,3,2018-03-25,Netherlands,Hungary,22,23,315,0,0
2018,3,2018-03-25,Belarus,Kosovo,41,18,316,0,0
2018,4,2018-03-25,France,Brazil,24,24,317,0,0
2018,3,2018-05-30,Iceland,Czech Republic,24,26,318,0,0
2018,3,2018-05-30,Faroe Islands,Serbia,17,33,319,0,0
2018,3,2018-05-30,Switzerland,Croatia,16,33,320,0,0
2018,3,2018-05-30,North Macedonia,Sweden,20,32,321,0,0
2018,3,2018-05-30,Kosovo,Hungary,15,37,322,0,0
2018,3,2018-05-30,Slovenia,Denmark,23,25,323,0,0
2018,3,2018-05-30,Ukraine,Norway,21,26,324,0,0
2018,3,2018-05-30,Turkey,Spain,17,22,325,0,0
2018,3,2018-05-31,Italy,Poland,25,33,326,0,0
2018,3,2018-05-31,Austria,Romania,25,28,327,0,0
2018,3,2018-05-31,Slovakia,Montenegro,24,27,328,0,0
2018,3,2018-05-31,Belarus,Netherlands,28,29,329,0,0
2018,3,2018-05-31,Lithuania,Germany,11,25,330,0,0
2018,3,2018-05-31,Portugal,Russia,24,30,331,0,0
2018,3,2018-06-02,Norway,Switzerland,41,18,332,0,0
2018,3,2018-06-02,Croatia,Ukraine,28,25,333,0,0
2018,3,2018-06-02,Spain,Lithuania,29,17,334,0,0
2018,3,2018-06-02,Montenegro,Italy,28,22,335,0,0
2018,3,2018-06-02,Hungary,Belarus,30,22,336,0,0
2018,3,2018-06-02,Denmark,Iceland,24,17,337,0,0
2018,3,2018-06-02,Germany,Turkey,40,17,338,0,0
2018,3,2018-06-02,Sweden,Faroe Islands,32,13,339,0,0
2018,3,2018-06-02,Netherlands,Kosovo,42,16,340,0,0
2018,3,2018-06-03,Czech Republic,Slovenia,30,30,341,0,0
2018,3,2018-06-03,Poland,Slovakia,26,21,342,0,0
2018,3,2018-06-03,Serbia,North Macedonia,35,30,343,0,0
2018,3,2018-06-03,Romania,Portugal,32,28,344,0,0
2018,3,2018-06-03,Russia,Austria,26,25,345,0,0
2018,4,2018-06-06,Germany,Poland,30,29,346,0,0
2018,4,2018-06-16,Sweden,Ukraine,27,27,347,0,0
2018,4,2018-06-17,South Korea,Ukraine,36,20,348,0,0
2018,4,2018-06-18,Sweden,South Korea,28,35,349,0,0
2018,4,2018-06-19,Sweden,Ukraine,31,28,350,0,0
2018,4,2018-06-20,Sweden,South Korea,28,34,351,0,0
2018,4,2018-06-21,South Korea,Ukraine,34,30,352,0,0
2018,4,2018-06-23,Japan,Poland,26,20,353,0,0
2018,4,2018-06-25,South Korea,Japan,27,20,354,0,0
2018,4,2018-09-26,Spain,Argentina,33,19,355,0,0
2018,4,2018-09-26,Slovenia,Serbia,34,31,356,0,0
2018,4,2018-09-27,Iceland,Sweden,25,26,357,0,0
2018,4,2018-09-27,Netherlands,Japan,38,26,358,0,0
2018,4,2018-09-27,North Macedonia,Italy,26,23,359,0,0
2018,4,2018-09-28,Netherlands,Japan,28,17,360,0,0
2018,4,2018-09-28,Belarus,Ukraine,25,28,361,0,0
2018,4,2018-09-28,Slovakia,Czech Republic,22,26,362,0,0
2018,4,2018-09-28,Hungary,Montenegro,29,25,363,0,0
2018,4,2018-09-28,Spain,Austria,32,22,364,0,0
2018,4,2018-09-29,Slovenia,Serbia,27,35,365,0,0
2018,4,2018-09-29,Belarus,Ukraine,27,31,366,0,0
2018,4,2018-09-29,Iceland,Sweden,20,33,367,0,0
2018,4,2018-09-29,Spain,Austria,28,26,368,0,0
2018,4,2018-09-29,Hungary,Montenegro,19,23,369,0,0
2018,4,2018-09-29,Germany,Russia,31,35,370,0,0
2018,4,2018-09-29,Slovakia,Czech Republic,22,22,371,0,0
2018,4,2018-09-30,Germany,Russia,33,36,372,0,0
2018,4,2018-11-19,Greece,Israel,25,21,373,0,0
2018,4,2018-11-20,Greece,Israel,26,26,374,0,0
2018,4,2018-11-21,Netherlands,Angola,32,29,375,0,0
2018,4,2018-11-22,Croatia,Slovakia,22,20,376,0,0
2018,4,2018-11-22,Czech Republic,Switzerland,34,25,377,0,0
2018,4,2018-11-23,Spain,Poland,23,16,378,0,0
2018,4,2018-11-23,Brazil,Germany,20,19,379,0,0
2018,4,2018-11-23,Czech Republic,Croatia,21,19,380,0,0
2018,4,2018-11-23,Sweden,Montenegro,28,30,381,0,0
2018,4,2018-11-23,Romania,Serbia,29,26,382,0,0
2018,4,2018-11-23,Switzerland,Slovakia,22,35,383,0,0
2019,6,2018-11-23,Italy,Greece,19,23,384,0,0
2019,6,2018-11-23,Belarus,Portugal,31,23,385,0,0
2018,4,2018-11-24,Germany,Spain,20,22,386,0,0
2018,4,2018-11-24,Brazil,Poland,26,32,387,0,0
2018,4,2018-11-24,Czech Republic,Slovakia,22,20,388,0,0
2018,4,2018-11-24,Russia,Serbia,33,32,389,0,0
2018,4,2018-11-24,Switzerland,Croatia,18,25,390,0,0
2018,4,2018-11-24,Ukraine,Austria,34,32,391,0,0
2019,6,2018-11-24,Portugal,Italy,34,20,392,0,0
2019,6,2018-11-24,Greece,Belarus,18,28,393,0,0
2018,4,2018-11-25,Spain,Brazil,28,28,394,0,0
2018,4,2018-11-25,Poland,Germany,27,28,395,0,0
2018,4,2018-11-25,Sweden,Montenegro,30,32,396,0,0
2019,6,2018-11-25,Belarus,Italy,35,26,397,0,0
2019,6,2018-11-25,Portugal,Greece,15,16,398,0,0
2018,3,2018-11-29,France,Russia,23,26,399,0,0
2018,3,2018-11-30,Denmark,Sweden,30,29,400,0,0
2018,3,2018-11-30,Montenegro,Slovenia,36,32,401,0,0
2018,3,2018-11-30,Serbia,Poland,33,26,402,0,0
2019,6,2018-11-30,Turkey,Iceland,23,36,403,0,0
2019,6,2018-11-30,Switzerland,Lithuania,21,20,404,0,0
2019,6,2018-11-30,Slovakia,Ukraine,36,32,405,0,0
2019,6,2018-11-30,Kosovo,Israel,25,28,406,0,0
2018,2,2018-12-01,Iran,Kazakhstan,26,41,407,1,1
2018,3,2018-12-01,Romania,Czech Republic,31,28,408,0,0
2018,3,2018-12-01,Spain,Croatia,25,18,409,0,0
2018,3,2018-12-01,Hungary,Netherlands,25,28,410,0,0
2018,3,2018-12-01,Norway,Germany,32,33,411,0,0
2019,6,2018-12-01,Iceland,North Macedonia,21,29,412,0,0
2019,6,2018-12-01,Israel,Slovakia,20,24,413,0,0
2019,6,2018-12-01,Lithuania,Faroe Islands,21,25,414,0,0
2019,6,2018-12-01,Ukraine,Kosovo,44,19,415,0,0
2018,3,2018-12-02,Russia,Montenegro,24,23,416,0,0
2018,3,2018-12-02,Sweden,Serbia,22,21,417,0,0
2018,3,2018-12-02,Poland,Denmark,21,28,418,0,0
2018,3,2018-12-02,Slovenia,France,21,30,419,0,0
2019,6,2018-12-02,Turkey,North Macedonia,23,30,420,0,0
2019,6,2018-12-02,Slovakia,Kosovo,40,15,421,0,0
2019,6,2018-12-02,Ukraine,Israel,35,25,422,0,0
2019,6,2018-12-02,Switzerland,Faroe Islands,23,19,423,0,0
2018,1,2018-12-03,Tunisia,Senegal,21,26,424,0,0
2018,3,2018-12-03,Czech Republic,Norway,17,31,425,0,0
2018,3,2018-12-03,Netherlands,Spain,28,27,426,0,0
2018,3,2018-12-03,Croatia,Hungary,18,24,427,0,0
2018,3,2018-12-03,Germany,Romania,24,29,428,0,0
2018,2,2018-12-04,Iran,Japan,8,31,429,1,1
2018,3,2018-12-04,Denmark,Serbia,25,30,430,0,0
2018,3,2018-12-04,France,Montenegro,25,20,431,0,0
2018,3,2018-12-04,Russia,Slovenia,27,29,432,0,0
2018,3,2018-12-04,Sweden,Poland,23,22,433,0,0
