season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,4,2017-06-03,Turkey,North Macedonia,38,29,214,0,1,1,1,8,5,0,57,41
2017,4,2017-06-04,Belarus,Ukraine,32,24,215,0,1,1,1,9,7,0,5,58
2017,4,2017-06-07,Croatia,Sweden,28,35,216,0,1,82,80,8,25,0,13,54
2017,4,2017-06-08,Denmark,Germany,17,22,217,0,1,100,81,7,16,1,17,23
2018,3,2017-06-09,Greece,Finland,29,20,218,1,0,6,100,3,3,1,25,21
2018,3,2017-06-10,Faroe Islands,Greece,25,24,219,1,0,7,1,1,4,1,20,25
2018,3,2017-06-11,Israel,Kosovo,25,32,220,1,0,8,7,3,1,1,31,35
2018,3,2017-06-11,Finland,Faroe Islands,17,20,221,1,0,2,1,4,2,0,21,20
2017,4,2017-06-11,Brazil,Portugal,35,29,222,0,1,100,100,23,3,1,8,45
2017,4,2017-06-13,Brazil,Portugal,38,25,223,0,1,2,2,24,4,0,8,45
2017,4,2017-06-15,Norway,France,24,21,224,0,1,100,100,19,19,1,42,22
2017,4,2017-06-16,Croatia,Serbia,28,21,225,0,1,9,15,9,13,0,13,49
2017,4,2017-06-17,Norway,France,23,22,226,0,1,2,2,20,20,0,42,22
2017,4,2017-09-22,Turkey,North Macedonia,30,26,227,0,1,100,100,9,6,0,57,41
2017,4,2017-09-23,Russia,South Korea,49,40,228,0,1,100,100,18,13,0,47,52
2017,4,2017-09-24,Italy,North Macedonia,24,29,229,0,1,100,2,4,7,1,32,41
2018,3,2017-09-27,Denmark,Slovenia,28,22,230,1,0,100,100,8,13,1,17,51
2018,3,2017-09-27,Czech Republic,Iceland,30,23,231,1,0,100,100,13,8,1,15,28
2018,3,2017-09-27,Germany,Lithuania,26,26,232,1,0,100,100,17,7,1,23,37
2018,3,2017-09-27,Spain,Turkey,35,16,233,1,0,100,5,25,10,1,53,57
2018,3,2017-09-27,Netherlands,Belarus,33,21,234,1,0,100,100,25,10,1,40,5
2018,3,2017-09-27,Norway,Ukraine,35,22,235,1,0,100,100,21,8,1,42,58
2018,3,2017-09-27,Croatia,Switzerland,32,28,236,1,0,100,100,10,7,1,13,55
2018,3,2017-09-27,Hungary,Kosovo,37,12,237,1,0,100,100,7,2,1,27,35
2018,3,2017-09-27,Poland,Italy,40,13,238,1,0,100,3,14,5,1,44,32
2018,3,2017-09-27,Romania,Austria,36,25,239,1,0,100,100,24,13,1,46,3
2018,3,2017-09-28,Russia,Portugal,32,25,240,1,0,5,100,19,5,1,47,45
2018,3,2017-09-28,Sweden,North Macedonia,38,26,241,1,0,100,4,26,8,1,54,41
2018,3,2017-09-28,Serbia,Faroe Islands,36,20,242,1,0,100,100,14,3,1,49,20
2018,3,2017-09-28,Montenegro,Slovakia,24,23,243,1,0,100,100,19,19,1,39,50
2017,4,2017-09-29,France,Brazil,23,21,244,0,1,100,100,21,25,0,22,8
2018,3,2017-09-30,Austria,Russia,27,25,245,1,0,3,2,14,20,0,3,47
2018,3,2017-10-01,Kosovo,Netherlands,12,40,246,1,0,4,4,3,26,0,35,40
2018,3,2017-10-01,North Macedonia,Serbia,27,33,247,1,0,3,3,9,15,0,41,49
2018,3,2017-10-01,Faroe Islands,Sweden,15,33,248,1,0,3,3,4,27,0,20,54
2018,3,2017-10-01,Lithuania,Spain,17,24,249,1,0,4,4,8,26,0,37,53
2018,3,2017-10-01,Slovenia,Czech Republic,28,28,250,1,0,4,4,14,14,0,51,15
2018,3,2017-10-01,Ukraine,Croatia,26,22,251,1,0,4,4,9,11,0,58,13
2018,3,2017-10-01,Iceland,Denmark,14,29,252,1,0,4,4,9,9,0,28,17
2018,3,2017-10-01,Switzerland,Norway,12,29,253,1,0,4,4,8,22,0,55,42
2018,3,2017-10-01,Italy,Montenegro,16,23,254,1,0,4,3,6,20,0,32,39
2018,3,2017-10-01,Portugal,Romania,16,32,255,1,0,3,4,6,25,0,45,46
2018,3,2017-10-01,Slovakia,Poland,20,29,256,1,0,3,4,20,15,0,50,44
2018,3,2017-10-01,Turkey,Germany,16,30,257,1,0,4,4,11,18,0,57,23
2018,3,2017-10-01,Belarus,Hungary,18,25,258,1,0,4,4,11,8,0,5,27
2017,4,2017-10-01,France,Brazil,22,22,259,0,1,2,2,22,26,0,22,8
2017,4,2017-10-28,Germany,Netherlands,23,18,260,0,1,27,27,19,27,0,23,40
2017,4,2017-10-29,Germany,Netherlands,36,26,261,0,1,1,1,20,28,0,23,40
2017,4,2017-11-21,Serbia,Slovakia,30,30,262,0,1,51,51,16,21,0,49,50
2017,4,2017-11-22,Serbia,Slovakia,26,24,263,0,1,1,1,17,22,0,49,50
2017,4,2017-11-23,Czech Republic,Austria,27,28,264,0,1,53,54,15,15,0,15,3
2017,4,2017-11-24,Spain,Argentina,28,19,265,0,1,54,100,27,12,0,53,2
2017,4,2017-11-24,France,Tunisia,35,19,266,0,1,54,100,23,8,0,22,56
2017,4,2017-11-24,Japan,Ukraine,24,25,267,0,1,100,54,15,10,1,33,58
2017,4,2017-11-24,Slovakia,Germany,22,23,268,0,1,2,26,23,21,0,50,23
2017,4,2017-11-24,Romania,Poland,21,27,269,0,1,54,54,26,16,0,46,44
2017,4,2017-11-24,Slovenia,Angola,31,25,270,0,1,54,100,15,10,0,51,1
2017,4,2017-11-24,North Macedonia,Brazil,19,32,271,0,1,54,54,10,27,0,41,8
2017,4,2017-11-24,Czech Republic,Switzerland,29,22,272,0,1,1,54,16,9,0,15,55
2017,4,2017-11-25,Spain,Japan,26,22,273,0,1,1,1,28,16,0,53,33
2017,4,2017-11-25,Ukraine,Argentina,31,25,274,0,1,1,1,11,13,0,58,2
2017,4,2017-11-25,Germany,Iceland,32,19,275,0,1,1,55,22,10,0,23,28
2017,4,2017-11-25,Denmark,Sweden,26,25,276,0,1,55,55,10,28,0,17,54
2017,4,2017-11-25,Romania,North Macedonia,31,18,277,0,1,1,1,27,11,0,46,41
2017,4,2017-11-25,Brazil,Poland,18,29,278,0,1,1,1,28,17,0,8,44
2017,4,2017-11-25,Switzerland,Austria,22,24,279,0,1,1,2,10,16,0,55,3
2017,4,2017-11-26,Spain,Ukraine,33,14,280,0,1,1,1,29,12,0,53,58
2017,4,2017-11-26,Montenegro,Serbia,36,26,281,0,1,56,4,21,18,0,39,49
2017,4,2017-11-26,France,Slovenia,26,18,282,0,1,2,2,24,16,0,22,51
2017,4,2017-11-26,Argentina,Japan,26,21,283,0,1,1,1,14,17,0,2,33
