season,division,date,home,away,home_goals,away_goals
2024,3,2024-07-31,Norway,Hungary,26,25
2024,3,2024-07-29,Argentina,Hungary,25,35
2024,3,2024-07-29,France,Norway,22,27
2024,3,2024-07-29,Sweden,Spain,29,26
2024,3,2024-07-29,Egypt,Denmark,27,30
2024,3,2024-07-29,Slovenia,Croatia,31,29
2024,3,2024-07-29,Japan,Germany,26,37
2024,3,2024-07-27,Denmark,France,37,29
2024,3,2024-07-27,Germany,Sweden,30,27
2024,3,2024-07-27,Norway,Argentina,36,31
2024,3,2024-07-27,Croatia,Japan,30,29
2024,3,2024-07-27,Hungary,Egypt,32,35
2024,3,2024-07-27,Spain,Slovenia,25,22
2024,2,2024-07-23,France,Slovenia,39,30
2024,2,2024-07-21,Germany,Japan,35,25
2024,2,2024-07-19,Germany,Hungary,33,29
2024,2,2024-07-18,Denmark,Argentina,34,20
2024,2,2024-07-18,Sweden,Egypt,32,26
2024,2,2024-07-18,Norway,Spain,35,29
2024,2,2024-07-17,France,Croatia,31,26
2024,2,2024-07-16,Denmark,Argentina,34,24
2024,2,2024-07-16,Norway,Spain,35,29
2024,2,2024-07-13,Germany,France,35,30
2024,2,2024-07-13,Hungary,Slovenia,29,25
2024,2,2024-07-08,Slovenia,Egypt,27,27
2024,2,2024-07-06,Spain,Argentina,40,29
2024,2,2024-07-06,Croatia,Egypt,36,29
2024,2,2024-05-12,Sweden,Germany,34,28
2024,2,2024-05-11,France,USA,38,29
2024,1,2024-04-30,Austria,Faroe Islands,38,33
2024,1,2024-04-30,Croatia,Belgium,34,29
2024,1,2024-04-30,Czech Republic,Israel,27,24
2024,1,2024-04-30,France,Italy,41,27
2024,1,2024-04-30,Hungary,Georgia,30,31
2024,1,2024-04-30,Iceland,Estonia,30,23
2024,1,2024-04-30,Montenegro,Bosnia & Herzegovina,23,25
2024,1,2024-04-30,Netherlands,Greece,32,26
2024,1,2024-04-30,North Macedonia,Turkey,30,27
2024,1,2024-04-30,Norway,Finland,32,23
2024,1,2024-04-30,Poland,Latvia,31,14
2024,1,2024-04-30,Portugal,Luxembourg,36,18
2024,1,2024-04-30,Serbia,Slovakia,37,26
2024,1,2024-04-30,Slovenia,Kosovo,33,28
2024,1,2024-04-30,Switzerland,Lithuania,27,20
2024,1,2024-04-30,Ukraine,Romania,31,26
2024,1,2024-04-27,Kosovo,Montenegro,24,26
2024,1,2024-04-27,Bosnia & Herzegovina,Slovenia,27,26
2024,1,2024-04-27,Finland,Serbia,29,30
2024,1,2024-04-27,Israel,Iceland,26,37
2024,1,2024-04-27,Italy,Poland,29,31
2024,1,2024-04-27,Lithuania,Hungary,31,46
2024,1,2024-04-27,Estonia,Czech Republic,30,32
2024,1,2024-04-26,Luxembourg,North Macedonia,23,28
2024,1,2024-04-26,Belgium,Netherlands,23,28
2024,1,2024-04-26,Faroe Islands,Ukraine,33,26
2024,1,2024-04-26,Latvia,France,19,38
2024,1,2024-04-26,Slovakia,Norway,23,33
2024,1,2024-04-26,Greece,Croatia,26,31
2024,1,2024-04-26,Turkey,Portugal,35,37
2024,1,2024-04-26,Romania,Austria,30,35
2024,1,2024-04-26,Georgia,Switzerland,19,26
2024,2,2024-03-17,Poland,Serbia,28,36
2024,3,2024-03-17,Hungary,Portugal,30,27
2024,3,2024-03-17,Tunisia,Norway,24,41
2024,3,2024-03-17,Spain,Brazil,28,26
2024,3,2024-03-17,Croatia,Algeria,34,22
2024,3,2024-03-17,Bahrain,Slovenia,26,32
2024,3,2024-03-17,Austria,Germany,31,34
2024,2,2024-03-16,France,Egypt,39,31
2024,2,2024-03-16,Denmark,Switzerland,30,25
2024,2,2024-03-16,Montenegro,Georgia,29,19
2024,2,2024-03-16,Argentina,Japan,35,23
2024,3,2024-03-16,Norway,Hungary,29,25
2024,3,2024-03-16,Algeria,Austria,26,41
2024,3,2024-03-16,Portugal,Tunisia,37,29
2024,3,2024-03-16,Germany,Croatia,30,33
2024,2,2024-03-15,Netherlands,Czech Republic,29,29
2024,2,2024-03-15,Montenegro,Georgia,34,20
2024,2,2024-03-15,Poland,Serbia,25,26
2024,3,2024-03-15,Spain,Slovenia,32,22
2024,3,2024-03-15,Bahrain,Brazil,24,25
2024,2,2024-03-14,France,Argentina,32,23
2024,2,2024-03-14,Japan,Egypt,30,37
2024,3,2024-03-14,Hungary,Tunisia,33,24
2024,3,2024-03-14,Slovenia,Brazil,27,26
2024,3,2024-03-14,Croatia,Austria,35,29
2024,3,2024-03-14,Norway,Portugal,32,29
2024,3,2024-03-14,Spain,Bahrain,39,27
2024,3,2024-03-14,Germany,Algeria,41,29
2024,1,2024-03-12,Croatia,Netherlands,25,25
2024,1,2024-03-12,Portugal,North Macedonia,32,27
2024,1,2024-03-12,Slovenia,Montenegro,37,30
2024,1,2024-03-12,Bosnia & Herzegovina,Kosovo,25,18
2024,1,2024-03-12,Greece,Belgium,26,24
2024,1,2024-03-12,Iceland,Czech Republic,28,19
