season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2016,1,2016-10-29,Germany,Finland,30,18,347,0,0
2016,1,2016-10-29,Serbia,Montenegro,25,21,348,0,0
2016,1,2016-10-29,Norway,Turkey,36,27,349,0,0
2016,1,2016-10-29,North Macedonia,Switzerland,27,20,350,0,0
2016,1,2016-10-29,Belarus,Bosnia & Herzegovina,25,25,351,0,0
2016,1,2016-10-30,Denmark,Lithuania,31,21,352,0,0
2016,1,2016-10-30,France,Czech Republic,41,25,353,0,0
2016,1,2016-10-30,Croatia,Netherlands,35,24,354,0,0
2016,1,2016-10-30,Sweden,Latvia,33,23,355,0,0
2016,1,2016-10-31,Finland,Luxembourg,28,21,356,0,0
2016,1,2016-10-31,Greece,Great Britain,43,14,357,0,0
2016,1,2016-11-01,Slovakia,Sweden,23,33,358,0,0
2016,1,2016-11-01,Finland,Spain,27,34,359,0,0
2016,1,2016-11-01,Latvia,Slovenia,28,39,360,0,0
2016,2,2016-11-01,Greece,Israel,31,23,361,1,1
2016,1,2016-11-02,Bosnia & Herzegovina,Denmark,23,25,362,0,0
2016,1,2016-11-02,Israel,Serbia,22,26,363,0,0
2016,1,2016-11-02,Austria,Germany,24,28,364,0,0
2016,1,2016-11-02,Montenegro,Iceland,25,24,365,0,0
2016,1,2016-11-02,Portugal,Russia,29,34,366,0,0
2016,1,2016-11-02,Ukraine,Hungary,20,33,367,0,0
2016,1,2016-11-02,Lithuania,Belarus,28,30,368,0,0
2016,1,2016-11-02,Turkey,Croatia,22,32,369,0,0
2016,1,2016-11-02,Switzerland,France,24,33,370,0,0
2016,1,2016-11-02,Netherlands,Norway,22,30,371,0,0
2016,1,2016-11-02,Czech Republic,North Macedonia,27,27,372,0,0
2016,2,2016-11-02,Greece,Israel,30,22,373,1,1
2016,1,2016-11-03,Belgium,Estonia,24,31,374,0,0
2016,1,2016-11-03,Italy,Greece,25,31,375,0,0
2016,3,2016-11-14,Japan,Saudi Arabia,27,19,376,0,0
2016,3,2016-11-16,Japan,Qatar,19,36,377,0,0
2016,3,2016-11-18,Qatar,Saudi Arabia,29,23,378,0,0
2016,3,2016-11-18,Iran,Japan,31,27,379,0,0
2016,3,2016-11-19,Bahrain,Iraq,35,16,380,0,0
2016,3,2016-11-20,Iran,Qatar,17,32,381,0,0
2016,3,2016-11-22,Iran,Saudi Arabia,30,24,382,0,0
2016,3,2016-11-25,Bahrain,Iran,30,35,383,0,0
2016,3,2016-11-25,Iraq,Saudi Arabia,31,33,384,0,0
2016,3,2016-11-26,Saudi Arabia,Japan,27,38,385,0,0
2016,3,2016-11-27,Iran,Qatar,19,28,386,0,0
2016,2,2016-12-27,Latvia,Belarus,23,20,387,1,1
2016,2,2016-12-27,Russia,Egypt,24,23,388,1,1
2016,2,2016-12-28,Latvia,Russia,19,27,389,1,1
2016,2,2016-12-28,Belarus,Egypt,28,27,390,1,1
2016,2,2016-12-29,Hungary,Slovakia,35,26,391,1,1
2016,2,2016-12-29,Czech Republic,Bahrain,28,23,392,1,1
2016,2,2016-12-29,Latvia,Egypt,20,30,393,1,1
2016,2,2016-12-29,Belarus,Russia,21,28,394,1,1
2016,2,2016-12-30,Slovenia,Saudi Arabia,31,18,395,1,1
2016,2,2016-12-30,Hungary,Czech Republic,34,25,396,1,1
2016,2,2016-12-30,Bahrain,Slovakia,28,26,397,1,1
2017,2,2017-01-03,Germany,Romania,30,21,398,1,1
2017,2,2017-01-03,North Macedonia,Bosnia & Herzegovina,28,24,399,1,1
2017,2,2017-01-05,Denmark,Hungary,24,21,400,1,1
2017,2,2017-01-05,Portugal,Austria,34,28,401,1,1
2017,2,2017-01-05,Greece,Turkey,24,22,402,1,1
2017,2,2017-01-05,Egypt,Iceland,27,30,403,1,1
2017,2,2017-01-06,Brazil,Romania,25,24,404,1,1
2017,2,2017-01-06,Denmark,Egypt,36,26,405,1,1
2017,2,2017-01-06,France,Slovenia,29,27,406,1,1
2017,2,2017-01-06,Spain,Poland,30,20,407,1,1
2017,2,2017-01-06,Switzerland,Slovakia,29,18,408,1,1
2017,2,2017-01-06,Greece,Turkey,30,22,409,1,1
2017,2,2017-01-06,Iceland,Hungary,27,30,410,1,1
2017,2,2017-01-06,Argentina,Qatar,25,30,411,1,1
2017,2,2017-01-06,Sweden,Norway,37,29,412,1,1
2017,2,2017-01-06,Russia,Belarus,31,26,413,1,1
2017,4,2017-01-06,Belgium,Turkey,24,31,414,0,0
2017,4,2017-01-06,Luxembourg,Switzerland,23,36,415,0,0
2017,4,2017-01-06,Kosovo,Bosnia & Herzegovina,29,33,416,0,0
2017,4,2017-01-06,Italy,Austria,27,40,417,0,0
2017,4,2017-01-06,Finland,Romania,21,34,418,0,0
2017,2,2017-01-07,Sweden,Norway,27,25,419,1,1
2017,2,2017-01-07,Switzerland,Romania,25,19,420,1,1
2017,2,2017-01-07,Montenegro,Tunisia,31,31,421,1,1
2017,2,2017-01-07,Spain,Argentina,38,25,422,1,1
2017,2,2017-01-07,Slovakia,Brazil,20,30,423,1,1
2017,2,2017-01-07,Poland,Qatar,25,26,424,1,1
2017,2,2017-01-07,Portugal,Austria,32,25,425,1,1
2017,2,2017-01-07,Russia,Belarus,27,22,426,1,1
2017,4,2017-01-07,Lithuania,Slovakia,18,18,427,0,0
2017,4,2017-01-07,Ukraine,Greece,25,27,428,0,0
2017,2,2017-01-08,Denmark,Iceland,34,26,429,1,1
2017,2,2017-01-08,Croatia,Tunisia,35,30,430,1,1
